Time,Year,RegionName,Cases,Population,Incidence
2002,2002,Netherlands,4549.0,16105285.0,28.24538652
2002,2002,Norway,3174.0,4524066.0,70.15812766
2002,2002,Poland,,38242197.0,
2002,2002,Portugal,2.0,10394669.0,0.01924063
2002,2002,Romania,,21833483.0,
2002,2002,Slovakia,,5378951.0,
2002,2002,Slovenia,,1994026.0,
2002,2002,Spain,347.0,41035278.0,0.84561386
2002,2002,Sweden,1350.0,8909128.0,15.15299813
2002,2002,United Kingdom,380.0,59239564.0,0.64146319
2003,2003,Austria,170.0,8100273.0,2.09869469
2003,2003,Belgium,,10355844.0,
2003,2003,Bulgaria,180.0,7805506.0,2.30606446
2003,2003,Croatia,94.0,4305384.0,2.1833128
2003,2003,Cyprus,58.0,713720.0,8.12643613
2003,2003,Czechia,342.0,10192649.0,3.35535933
2003,2003,Denmark,566.0,5383507.0,10.51359271
2003,2003,Estonia,623.0,1375190.0,45.30283088
2003,2003,Finland,1264.0,5206295.0,24.27830155
2003,2003,France,60.0,61864088.0,
2003,2003,Germany,,82536680.0,
2003,2003,Greece,10.0,10915770.0,0.09161057
2003,2003,Hungary,29.0,10142362.0,0.28592945
2003,2003,Iceland,3.0,288471.0,1.03996588
2003,2003,Ireland,40.0,3964191.0,1.00903311
2003,2003,Italy,1278.0,57186378.0,2.23479794
2003,2003,Latvia,99.0,2299390.0,4.30548971
2003,2003,Lithuania,5.0,3431497.0,0.145709
2003,2003,Luxembourg,0.0,448300.0,0.0
2003,2003,Malta,7.0,397296.0,1.76191051
2003,2003,Netherlands,2862.0,16192572.0,17.67477087
2003,2003,Norway,2768.0,4552252.0,60.80506966
2003,2003,Poland,2034.0,38218531.0,5.32202559
2003,2003,Portugal,4.0,10444592.0,0.03829733
2003,2003,Romania,94.0,21627509.0,0.43463165
2003,2003,Slovakia,47.0,5374873.0,0.87443926
2003,2003,Slovenia,182.0,1995033.0,9.12265611
2003,2003,Spain,551.0,41827838.0,1.31730451
2003,2003,Sweden,664.0,8940788.0,7.42663845
2003,2003,United Kingdom,270.0,59501394.0,0.45377088
2004,2004,Austria,130.0,8142573.0,1.59654693
2004,2004,Belgium,,10396421.0,
2004,2004,Bulgaria,222.0,7745147.0,2.86631099
2004,2004,Croatia,197.0,4305725.0,4.57530381
2004,2004,Cyprus,15.0,722893.0,2.07499588
2004,2004,Czechia,373.0,10195347.0,3.65853168
2004,2004,Denmark,1272.0,5397640.0,23.5658547
2004,2004,Estonia,455.0,1366250.0,33.30283623
2004,2004,Finland,1631.0,5219732.0,31.24681497
2004,2004,France,105.0,62292241.0,
2004,2004,Germany,,82531671.0,
2004,2004,Greece,25.0,10940369.0,0.22851148
2004,2004,Hungary,31.0,10116742.0,0.30642275
2004,2004,Iceland,1.0,290570.0,0.34415115
2004,2004,Ireland,92.0,4028851.0,2.28352947
2004,2004,Italy,1343.0,57611990.0,2.33111197
2004,2004,Latvia,41.0,2276520.0,1.8009945
2004,2004,Lithuania,49.0,3398929.0,1.44163058
2004,2004,Luxembourg,3.0,454960.0,0.65939862
2004,2004,Malta,6.0,399867.0,1.50049891
2004,2004,Netherlands,9753.0,16258032.0,59.98881045
2004,2004,Norway,6709.0,4577457.0,146.56609554
2004,2004,Poland,2954.0,38190608.0,7.73488602
2004,2004,Portugal,38.0,10473050.0,0.36283604
2004,2004,Romania,233.0,21521142.0,1.0826563
2004,2004,Slovakia,21.0,5371875.0,0.39092495
2004,2004,Slovenia,113.0,1996433.0,5.66009477
2004,2004,Spain,530.0,42547451.0,1.24566804
2004,2004,Sweden,1567.0,8975670.0,17.45830673
2004,2004,United Kingdom,370.0,59793759.0,0.61879367
2005,2005,Austria,135.0,8201359.0,1.64606865
2005,2005,Belgium,,10445852.0,
2005,2005,Bulgaria,313.0,7688573.0,4.07097649
2005,2005,Croatia,124.0,4310861.0,2.87645553
2005,2005,Cyprus,6.0,733067.0,0.81847907
2005,2005,Czechia,412.0,10198855.0,4.03966915
2005,2005,Denmark,596.0,5411405.0,11.01377553
2005,2005,Estonia,63.0,1358850.0,4.63627331
2005,2005,Finland,552.0,5236611.0,10.5411687
2005,2005,France,161.0,62772870.0,
2005,2005,Germany,,82500849.0,
2005,2005,Greece,26.0,10969912.0,0.23701192
2005,2005,Hungary,22.0,10097549.0,0.21787465
2005,2005,Iceland,6.0,293577.0,2.04375683
2005,2005,Ireland,83.0,4111672.0,2.01864351
2005,2005,Italy,802.0,58044368.0,1.38170166
2005,2005,Latvia,25.0,2249724.0,1.11124742
2005,2005,Lithuania,64.0,3355220.0,1.90747551
2005,2005,Luxembourg,0.0,461230.0,0.0
2005,2005,Malta,5.0,402668.0,1.24171774
2005,2005,Netherlands,5913.0,16305526.0,36.26377953
2005,2005,Norway,4503.0,4606363.0,97.75608218
2005,2005,Poland,1925.0,38173835.0,5.04272101
2005,2005,Portugal,78.0,10494672.0,0.74323428
2005,2005,Romania,52.0,21382354.0,0.24319118
2005,2005,Slovakia,17.0,5372685.0,0.31641534
2005,2005,Slovenia,85.0,1997590.0,4.25512742
2005,2005,Spain,304.0,43296338.0,0.7021379
2005,2005,Sweden,1360.0,9011392.0,15.09200798
2005,2005,United Kingdom,456.0,60182050.0,0.757701
2006,2006,Austria,78.0,8254298.0,0.94496224
2006,2006,Belgium,197.0,10511382.0,
2006,2006,Bulgaria,335.0,7629371.0,4.39092554
2006,2006,Croatia,80.0,4312487.0,1.85507805
2006,2006,Cyprus,8.0,744013.0,1.07525002
2006,2006,Czechia,234.0,10223577.0,2.28882709
2006,2006,Denmark,272.0,5427459.0,5.01155328
