Time,Year,RegionName,Cases,Population,Incidence
1998,1998,Poland,13302.0,38659979.0,34.40767518
1998,1998,Portugal,5260.0,10133758.0,51.90571947
1998,1998,Romania,25758.0,22526093.0,114.34739259
1998,1998,Slovakia,1282.0,5387650.0,23.79516115
1998,1998,Slovenia,449.0,1984923.0,22.62052482
1998,1998,Spain,9111.0,40143449.0,22.69610665
1998,1998,Sweden,446.0,8847625.0,5.0409008
1998,1998,United Kingdom,5719.0,58394596.0,9.79371447
1999,1999,Austria,1245.0,7982461.0,15.5966938
1999,1999,Belgium,1270.0,10213752.0,12.43421614
1999,1999,Bulgaria,3530.0,8230371.0,42.88992561
1999,1999,Croatia,1770.0,4527460.0,39.09476836
1999,1999,Cyprus,39.0,682862.0,5.71125644
1999,1999,Czechia,1631.0,10289621.0,15.85092395
1999,1999,Denmark,536.0,5313577.0,10.08736675
1999,1999,Estonia,754.0,1379237.0,54.66790696
1999,1999,Finland,572.0,5159646.0,11.08603187
1999,1999,France,6674.0,60158533.0,11.09402052
1999,1999,Germany,9974.0,82037011.0,12.1579271
1999,1999,Greece,952.0,10747768.0,8.85765304
1999,1999,Hungary,3914.0,10253416.0,38.17264412
1999,1999,Iceland,12.0,275712.0,4.35236768
1999,1999,Ireland,469.0,3732006.0,12.566968
1999,1999,Italy,4429.0,56909109.0,7.78258538
1999,1999,Latvia,1968.0,2399248.0,82.02570138
1999,1999,Liechtenstein,4.0,32015.0,12.49414337
1999,1999,Lithuania,2903.0,3536401.0,82.08910697
1999,1999,Luxembourg,42.0,427350.0,9.82800982
1999,1999,Malta,22.0,386397.0,5.69362598
1999,1999,Netherlands,1535.0,15760225.0,9.73970866
1999,1999,Norway,273.0,4445329.0,6.14127773
1999,1999,Poland,12179.0,38666983.0,31.49715611
1999,1999,Portugal,5160.0,10186634.0,50.6546127
1999,1999,Romania,26870.0,22488595.0,119.48278671
1999,1999,Slovakia,1218.0,5393382.0,22.58323256
1999,1999,Slovenia,438.0,1978334.0,22.13984089
1999,1999,Spain,8393.0,40303568.0,20.82445901
1999,1999,Sweden,493.0,8854322.0,5.56790231
1999,1999,United Kingdom,5701.0,58579685.0,9.73204277
2000,2000,Austria,1225.0,8002186.0,15.308317
2000,2000,Belgium,1313.0,10239085.0,12.82341146
2000,2000,Bulgaria,3349.0,8190876.0,40.88695763
2000,2000,Croatia,1630.0,4497735.0,36.24046325
2000,2000,Cyprus,33.0,690497.0,4.77916631
2000,2000,Czechia,1442.0,10278098.0,14.02983314
2000,2000,Denmark,548.0,5330020.0,10.28138731
