Year,Country,Disease,Cases,Population,Incidence,Pop_Structure_0_14_Pct,Vaccination_Coverage_Pct
2001,Czechia,Pertussis,,10232027.0,,16.1,94.0
2001,Denmark,Pertussis,919.0,5349212.0,17.18,15.0,93.0
2001,Estonia,Pertussis,,1392720.0,,15.0,93.0
2001,Finland,Pertussis,,5181115.0,,15.0,93.0
2001,France,Pertussis,120.0,60979315.0,0.2,17.7,90.0
2001,Germany,Pertussis,,82259540.0,,13.8,92.0
2001,Greece,Pertussis,93.0,10835989.0,0.86,15.0,93.0
2001,Hungary,Pertussis,,10200298.0,,14.4,98.0
2001,Iceland,Pertussis,3.0,283361.0,1.06,15.0,93.0
2001,Ireland,Pertussis,142.0,3832783.0,3.7,15.0,93.0
2001,Italy,Pertussis,1805.0,56960692.0,3.17,12.7,94.0
2001,Latvia,Pertussis,,2353384.0,,15.0,93.0
2001,Lithuania,Pertussis,162.0,3486998.0,4.65,15.0,93.0
2001,Luxembourg,Pertussis,,439000.0,,15.0,93.0
2001,Malta,Pertussis,1.0,391415.0,0.26,15.0,93.0
2001,Netherlands,Pertussis,8034.0,15987075.0,50.25,15.0,93.0
2001,Norway,Pertussis,2578.0,4503436.0,57.25,17.0,96.0
2001,Poland,Pertussis,,38253955.0,,15.3,93.0
2001,Portugal,Pertussis,2.0,10330774.0,0.02,15.0,93.0
2001,Romania,Pertussis,,22430457.0,,15.0,93.0
2001,Slovakia,Pertussis,,5378783.0,,15.8,95.0
2001,Slovenia,Pertussis,,1990094.0,,15.0,93.0
2001,Spain,Pertussis,271.0,40665545.0,0.67,14.2,95.0
2001,Sweden,Pertussis,979.0,8882792.0,11.02,17.5,97.0
2001,United Kingdom,Pertussis,310.0,58999781.0,0.53,17.8,91.0
2002,Austria,Pertussis,157.0,8063640.0,1.95,15.0,93.0
2002,Belgium,Pertussis,,10309725.0,,15.0,93.0
2002,Bulgaria,Pertussis,,7868815.0,,15.0,93.0
2002,Croatia,Pertussis,,4305494.0,,15.0,93.0
2002,Cyprus,Pertussis,,705539.0,,15.0,93.0
2002,Czechia,Pertussis,,10201182.0,,16.1,94.0
2002,Denmark,Pertussis,1938.0,5368354.0,36.1,15.0,93.0
2002,Estonia,Pertussis,,1383510.0,,15.0,93.0
2002,Finland,Pertussis,,5194901.0,,15.0,93.0
2002,France,Pertussis,60.0,61424036.0,0.1,17.7,90.0
2002,Germany,Pertussis,,82440309.0,,13.8,92.0
2002,Greece,Pertussis,16.0,10888274.0,0.15,15.0,93.0
2002,Hungary,Pertussis,,10174853.0,,14.4,98.0
2002,Iceland,Pertussis,11.0,286575.0,3.84,15.0,93.0
2002,Ireland,Pertussis,131.0,3899702.0,3.36,15.0,93.0
2002,Italy,Pertussis,2576.0,56993270.0,4.52,12.7,94.0
2002,Latvia,Pertussis,,2320956.0,,15.0,93.0
2002,Lithuania,Pertussis,23.0,3454637.0,0.67,15.0,93.0
2002,Luxembourg,Pertussis,,444050.0,,15.0,93.0
2002,Malta,Pertussis,4.0,394641.0,1.01,15.0,93.0
2002,Netherlands,Pertussis,4549.0,16105285.0,28.25,15.0,93.0
2002,Norway,Pertussis,3174.0,4524066.0,70.16,17.0,96.0
2002,Poland,Pertussis,,38242197.0,,15.3,93.0
2002,Portugal,Pertussis,2.0,10394669.0,0.02,15.0,93.0
2002,Romania,Pertussis,,21833483.0,,15.0,93.0
2002,Slovakia,Pertussis,,5378951.0,,15.8,95.0
2002,Slovenia,Pertussis,,1994026.0,,15.0,93.0
2002,Spain,Pertussis,347.0,41035278.0,0.85,14.2,95.0
2002,Sweden,Pertussis,1350.0,8909128.0,15.15,17.5,97.0
2002,United Kingdom,Pertussis,380.0,59239564.0,0.64,17.8,91.0
2003,Austria,Pertussis,170.0,8100273.0,2.1,15.0,93.0
2003,Belgium,Pertussis,,10355844.0,,15.0,93.0
2003,Bulgaria,Pertussis,180.0,7805506.0,2.31,15.0,93.0
2003,Croatia,Pertussis,94.0,4305384.0,2.18,15.0,93.0
2003,Cyprus,Pertussis,58.0,713720.0,8.13,15.0,93.0
2003,Czechia,Pertussis,342.0,10192649.0,3.36,16.1,94.0
2003,Denmark,Pertussis,566.0,5383507.0,10.51,15.0,93.0
2003,Estonia,Pertussis,623.0,1375190.0,45.3,15.0,93.0
2003,Finland,Pertussis,1264.0,5206295.0,24.28,15.0,93.0
2003,France,Pertussis,60.0,61864088.0,0.1,17.7,90.0
2003,Germany,Pertussis,,82536680.0,,13.8,92.0
2003,Greece,Pertussis,10.0,10915770.0,0.09,15.0,93.0
2003,Hungary,Pertussis,29.0,10142362.0,0.29,14.4,98.0
2003,Iceland,Pertussis,3.0,288471.0,1.04,15.0,93.0
2003,Ireland,Pertussis,40.0,3964191.0,1.01,15.0,93.0
2003,Italy,Pertussis,1278.0,57186378.0,2.23,12.7,94.0
2003,Latvia,Pertussis,99.0,2299390.0,4.31,15.0,93.0
2003,Lithuania,Pertussis,5.0,3431497.0,0.15,15.0,93.0
2003,Luxembourg,Pertussis,0.0,448300.0,0.0,15.0,93.0
2003,Malta,Pertussis,7.0,397296.0,1.76,15.0,93.0
2003,Netherlands,Pertussis,2862.0,16192572.0,17.67,15.0,93.0
2003,Norway,Pertussis,2768.0,4552252.0,60.81,17.0,96.0
2003,Poland,Pertussis,2034.0,38218531.0,5.32,15.3,93.0
2003,Portugal,Pertussis,4.0,10444592.0,0.04,15.0,93.0
2003,Romania,Pertussis,94.0,21627509.0,0.43,15.0,93.0
2003,Slovakia,Pertussis,47.0,5374873.0,0.87,15.8,95.0
2003,Slovenia,Pertussis,182.0,1995033.0,9.12,15.0,93.0
2003,Spain,Pertussis,551.0,41827838.0,1.32,14.2,95.0
2003,Sweden,Pertussis,664.0,8940788.0,7.43,17.5,97.0
2003,United Kingdom,Pertussis,270.0,59501394.0,0.45,17.8,91.0
2004,Austria,Pertussis,130.0,8142573.0,1.6,15.0,93.0
2004,Belgium,Pertussis,,10396421.0,,15.0,93.0
2004,Bulgaria,Pertussis,222.0,7745147.0,2.87,15.0,93.0
2004,Croatia,Pertussis,197.0,4305725.0,4.58,15.0,93.0
2004,Cyprus,Pertussis,15.0,722893.0,2.07,15.0,93.0
2004,Czechia,Pertussis,373.0,10195347.0,3.66,16.1,94.0
2004,Denmark,Pertussis,1272.0,5397640.0,23.57,15.0,93.0
2004,Estonia,Pertussis,455.0,1366250.0,33.3,15.0,93.0
2004,Finland,Pertussis,1631.0,5219732.0,31.25,15.0,93.0
2004,France,Pertussis,105.0,62292241.0,0.17,17.7,90.0
2004,Germany,Pertussis,,82531671.0,,13.8,92.0
2004,Greece,Pertussis,25.0,10940369.0,0.23,15.0,93.0
2004,Hungary,Pertussis,31.0,10116742.0,0.31,14.4,98.0
2004,Iceland,Pertussis,1.0,290570.0,0.34,15.0,93.0
2004,Ireland,Pertussis,92.0,4028851.0,2.28,15.0,93.0
2004,Italy,Pertussis,1343.0,57611990.0,2.33,12.7,94.0
2004,Latvia,Pertussis,41.0,2276520.0,1.8,15.0,93.0
2004,Lithuania,Pertussis,49.0,3398929.0,1.44,15.0,93.0
2004,Luxembourg,Pertussis,3.0,454960.0,0.66,15.0,93.0
2004,Malta,Pertussis,6.0,399867.0,1.5,15.0,93.0
2004,Netherlands,Pertussis,9753.0,16258032.0,59.99,15.0,93.0
2004,Norway,Pertussis,6709.0,4577457.0,146.57,17.0,96.0
2004,Poland,Pertussis,2954.0,38190608.0,7.73,15.3,93.0
2004,Portugal,Pertussis,38.0,10473050.0,0.36,15.0,93.0
2004,Romania,Pertussis,233.0,21521142.0,1.08,15.0,93.0
2004,Slovakia,Pertussis,21.0,5371875.0,0.39,15.8,95.0
2004,Slovenia,Pertussis,113.0,1996433.0,5.66,15.0,93.0
2004,Spain,Pertussis,530.0,42547451.0,1.25,14.2,95.0
2004,Sweden,Pertussis,1567.0,8975670.0,17.46,17.5,97.0
2004,United Kingdom,Pertussis,370.0,59793759.0,0.62,17.8,91.0
2005,Austria,Pertussis,135.0,8201359.0,1.65,15.0,93.0
2005,Belgium,Pertussis,,10445852.0,,15.0,93.0
2005,Bulgaria,Pertussis,313.0,7688573.0,4.07,15.0,93.0
2005,Croatia,Pertussis,124.0,4310861.0,2.88,15.0,93.0
2005,Cyprus,Pertussis,6.0,733067.0,0.82,15.0,93.0
2005,Czechia,Pertussis,412.0,10198855.0,4.04,16.1,94.0
2005,Denmark,Pertussis,596.0,5411405.0,11.01,15.0,93.0
2005,Estonia,Pertussis,63.0,1358850.0,4.64,15.0,93.0
2005,Finland,Pertussis,552.0,5236611.0,10.54,15.0,93.0
2005,France,Pertussis,161.0,62772870.0,0.26,17.7,90.0
