Time,Year,Month,RegionName,Cases,Population,Incidence
1999-04,1999,4,Romania,0.0,22488595.0,
1999-04,1999,4,Slovakia,0.0,5393382.0,
1999-04,1999,4,Slovenia,0.0,1978334.0,
1999-04,1999,4,Spain,0.0,40303568.0,
1999-04,1999,4,Sweden,0.0,8854322.0,
1999-04,1999,4,United Kingdom,6.0,58579685.0,0.010242458
1999-05,1999,5,Austria,2.0,7982461.0,0.025054929
1999-05,1999,5,Belgium,0.0,10213752.0,
1999-05,1999,5,Bulgaria,0.0,8230371.0,
1999-05,1999,5,Croatia,0.0,4527460.0,
1999-05,1999,5,Cyprus,0.0,682862.0,
1999-05,1999,5,Czechia,0.0,10289621.0,
1999-05,1999,5,Denmark,1.0,5313577.0,0.018819714
1999-05,1999,5,Estonia,0.0,1379237.0,
1999-05,1999,5,Finland,0.0,5159646.0,
1999-05,1999,5,France,0.0,60158533.0,
1999-05,1999,5,Germany,0.0,82037011.0,
1999-05,1999,5,Greece,4.0,10747768.0,0.037217029
1999-05,1999,5,Hungary,0.0,10253416.0,
1999-05,1999,5,Iceland,0.0,275712.0,
1999-05,1999,5,Ireland,17.0,3732006.0,0.455519096
1999-05,1999,5,Italy,488.0,56909109.0,0.857507714
1999-05,1999,5,Latvia,0.0,2399248.0,
1999-05,1999,5,Liechtenstein,,32015.0,
1999-05,1999,5,Lithuania,0.0,3536401.0,
1999-05,1999,5,Luxembourg,0.0,427350.0,
1999-05,1999,5,Malta,0.0,386397.0,
1999-05,1999,5,Netherlands,1.0,15760225.0,0.006345087
1999-05,1999,5,Norway,0.0,4445329.0,
1999-05,1999,5,Poland,0.0,38666983.0,
1999-05,1999,5,Portugal,0.0,10186634.0,
1999-05,1999,5,Romania,0.0,22488595.0,
1999-05,1999,5,Slovakia,0.0,5393382.0,
1999-05,1999,5,Slovenia,0.0,1978334.0,
1999-05,1999,5,Spain,0.0,40303568.0,
1999-05,1999,5,Sweden,2.0,8854322.0,0.022587839
1999-05,1999,5,United Kingdom,5.0,58579685.0,0.008535382
1999-06,1999,6,Austria,2.0,7982461.0,0.025054929
1999-06,1999,6,Belgium,0.0,10213752.0,
1999-06,1999,6,Bulgaria,0.0,8230371.0,
1999-06,1999,6,Croatia,0.0,4527460.0,
1999-06,1999,6,Cyprus,0.0,682862.0,
1999-06,1999,6,Czechia,0.0,10289621.0,
1999-06,1999,6,Denmark,3.0,5313577.0,0.056459142
1999-06,1999,6,Estonia,0.0,1379237.0,
1999-06,1999,6,Finland,0.0,5159646.0,
1999-06,1999,6,France,0.0,60158533.0,
1999-06,1999,6,Germany,0.0,82037011.0,
1999-06,1999,6,Greece,1.0,10747768.0,0.009304257
1999-06,1999,6,Hungary,0.0,10253416.0,
1999-06,1999,6,Iceland,0.0,275712.0,
1999-06,1999,6,Ireland,10.0,3732006.0,0.267952409
1999-06,1999,6,Italy,536.0,56909109.0,0.941852735
1999-06,1999,6,Latvia,0.0,2399248.0,
1999-06,1999,6,Liechtenstein,,32015.0,
1999-06,1999,6,Lithuania,0.0,3536401.0,
1999-06,1999,6,Luxembourg,0.0,427350.0,
1999-06,1999,6,Malta,0.0,386397.0,
1999-06,1999,6,Netherlands,57.0,15760225.0,0.361669963
1999-06,1999,6,Norway,0.0,4445329.0,
1999-06,1999,6,Poland,0.0,38666983.0,
1999-06,1999,6,Portugal,0.0,10186634.0,
1999-06,1999,6,Romania,0.0,22488595.0,
1999-06,1999,6,Slovakia,0.0,5393382.0,
1999-06,1999,6,Slovenia,0.0,1978334.0,
1999-06,1999,6,Spain,0.0,40303568.0,
1999-06,1999,6,Sweden,1.0,8854322.0,0.011293919
1999-06,1999,6,United Kingdom,9.0,58579685.0,0.015363687
1999-07,1999,7,Austria,0.0,7982461.0,
1999-07,1999,7,Belgium,0.0,10213752.0,
1999-07,1999,7,Bulgaria,0.0,8230371.0,
1999-07,1999,7,Croatia,0.0,4527460.0,
1999-07,1999,7,Cyprus,0.0,682862.0,
1999-07,1999,7,Czechia,0.0,10289621.0,
1999-07,1999,7,Denmark,1.0,5313577.0,0.018819714
